x,y
4.980000000000000537e-01,1.299322580241605522e-03
4.988248248248248751e-01,1.341573266121335890e-03
4.996496496496496964e-01,1.385109010119489484e-03
5.004744744744745732e-01,1.429965839837423836e-03
5.012992992992993946e-01,1.476180692561373598e-03
5.021241241241242159e-01,1.523791435094975708e-03
5.029489489489490373e-01,1.572836883930584743e-03
5.037737737737738586e-01,1.623356825762432235e-03
5.045985985985986799e-01,1.675392038344628194e-03
5.054234234234235013e-01,1.728984311696990300e-03
5.062482482482483226e-01,1.784176469661537690e-03
5.070730730730731439e-01,1.841012391812467397e-03
5.078978978978979653e-01,1.899537035722405690e-03
5.087227227227227866e-01,1.959796459587543130e-03
5.095475475475476079e-01,2.021837845214258678e-03
5.103723723723724293e-01,2.085709521369789182e-03
5.111971971971972506e-01,2.151460987499289809e-03
5.120220220220220719e-01,2.219142937811652890e-03
5.128468468468468933e-01,2.288807285736359828e-03
5.136716716716717146e-01,2.360507188753428656e-03
5.144964964964965359e-01,2.434297073598532413e-03
5.153213213213213573e-01,2.510232661845236864e-03
5.161461461461461786e-01,2.588370995866144317e-03
5.169709709709709999e-01,2.668770465174630149e-03
5.177957957957958213e-01,2.751490833148786171e-03
5.186206206206206426e-01,2.836593264139047974e-03
5.194454454454454639e-01,2.924140350960739189e-03
5.202702702702702853e-01,3.014196142772809436e-03
5.210950950950951066e-01,3.106826173343826304e-03
5.219199199199199279e-01,3.202097489706041879e-03
5.227447447447447493e-01,3.300078681198355228e-03
5.235695695695696816e-01,3.400839908898841291e-03
5.243943943943945030e-01,3.504452935447061740e-03
5.252192192192193243e-01,3.610991155256819581e-03
5.260440440440441456e-01,3.720529625119043098e-03
5.268688688688689670e-01,3.833145095195078858e-03
5.276936936936937883e-01,3.948916040399976998e-03
5.285185185185186096e-01,4.067922692175332533e-03
5.293433433433434310e-01,4.190247070651261993e-03
5.301681681681682523e-01,4.315973017196413422e-03
5.309929929929930736e-01,4.445186227355213925e-03
5.318178178178178950e-01,4.577974284171106197e-03
5.326426426426427163e-01,4.714426691894212790e-03
5.334674674674675376e-01,4.854634910071931909e-03
5.342922922922923590e-01,4.998692388020509712e-03
5.351171171171171803e-01,5.146694599675514376e-03
5.359419419419420016e-01,5.298739078818792865e-03
5.367667667667668230e-01,5.454925454679525158e-03
5.375915915915916443e-01,5.615355487906308063e-03
5.384164164164164657e-01,5.780133106907310060e-03
5.392412412412412870e-01,5.949364444555263649e-03
5.400660660660661083e-01,6.123157875253444106e-03
5.408908908908909297e-01,6.301624052358957041e-03
5.417157157157157510e-01,6.484875945959171425e-03
5.425405405405405723e-01,6.673028880996750498e-03
5.433653653653653937e-01,6.866200575738649718e-03
5.441901901901902150e-01,7.064511180584122189e-03
5.450150150150150363e-01,7.268083317206266297e-03
5.458398398398398577e-01,7.477042118021591348e-03
5.466646646646646790e-01,7.691515265981748242e-03
5.474894894894895003e-01,7.911633034680969415e-03
5.483143143143143217e-01,8.137528328772829916e-03
5.491391391391391430e-01,8.369336724689379475e-03
5.499639639639639643e-01,8.607196511655335405e-03
5.507887887887888967e-01,8.851248732989916088e-03
5.516136136136137180e-01,9.101637227688055137e-03
5.524384384384385394e-01,9.358508672273313164e-03
5.532632632632633607e-01,9.622012622913213298e-03
5.540880880880881820e-01,9.892301557788384103e-03
5.549129129129130034e-01,1.016953091970592901e-02
5.557377377377378247e-01,1.045385915894756802e-02
5.565625625625626460e-01,1.074544777634210344e-02
5.573873873873874674e-01,1.104446136655177178e-02
5.582122122122122887e-01,1.135106766156183770e-02
5.590370370370371100e-01,1.166543757436178282e-02
5.598618618618619314e-01,1.198774524280649123e-02
5.606866866866867527e-01,1.231816807364550723e-02
5.615115115115115740e-01,1.265688678670762526e-02
5.623363363363363954e-01,1.300408545922780885e-02
5.631611611611612167e-01,1.335995157030352327e-02
5.639859859859860380e-01,1.372467604546608218e-02
5.648108108108108594e-01,1.409845330135317716e-02
5.656356356356356807e-01,1.448148129046793881e-02
5.664604604604605020e-01,1.487396154600926362e-02
5.672852852852853234e-01,1.527609922675786554e-02
5.681101101101101447e-01,1.568810316200235783e-02
5.689349349349349660e-01,1.611018589648849364e-02
5.697597597597597874e-01,1.654256373537496896e-02
5.705845845845846087e-01,1.698545678917845470e-02
5.714094094094094300e-01,1.743908901868977332e-02
5.722342342342342514e-01,1.790368827984320510e-02
5.730590590590590727e-01,1.837948636852008988e-02
5.738838838838840051e-01,1.886671906526746559e-02
5.747087087087088264e-01,1.936562617991181845e-02
5.755335335335336477e-01,1.987645159604869982e-02
5.763583583583584691e-01,2.039944331538604341e-02
5.771831831831832904e-01,2.093485350192151803e-02
5.780080080080081117e-01,2.148293852593140957e-02
5.788328328328329331e-01,2.204395900774904979e-02
5.796576576576577544e-01,2.261817986131078873e-02
5.804824824824825757e-01,2.320587033744558533e-02
5.813073073073073971e-01,2.380730406688529380e-02
5.821321321321322184e-01,2.442275910297139752e-02
5.829569569569570398e-01,2.505251796403354728e-02
5.837817817817818611e-01,2.569686767541504158e-02
5.846066066066066824e-01,2.635609981111977987e-02
5.854314314314315038e-01,2.703051053505455339e-02
5.862562562562563251e-01,2.772040064184000396e-02
5.870810810810811464e-01,2.842607559716414656e-02
5.879059059059059678e-01,2.914784557764983283e-02
5.887307307307307891e-01,2.988602551020886136e-02
5.895555555555556104e-01,3.064093511085479865e-02
5.903803803803804318e-01,3.141289892294447245e-02
5.912052052052052531e-01,3.220224635481968439e-02
5.920300300300300744e-01,3.300931171681924237e-02
5.928548548548548958e-01,3.383443425763056622e-02
5.936796796796797171e-01,3.467795819995038442e-02
5.945045045045045384e-01,3.554023277542360526e-02
5.953293293293293598e-01,3.642161225882834669e-02
5.961541541541541811e-01,3.732245600147465064e-02
5.969789789789790024e-01,3.824312846378552511e-02
5.978038038038038238e-01,3.918399924702601483e-02
5.986286286286286451e-01,4.014544312414749377e-02
5.994534534534534664e-01,4.112784006971372669e-02
6.002782782782782878e-01,4.213157528887365166e-02
6.011031031031031091e-01,4.315703924534632779e-02
6.019279279279279304e-01,4.420462768838398504e-02
6.027527527527528628e-01,4.527474167867655275e-02
6.035775775775776841e-01,4.636778761316157765e-02
6.044024024024025055e-01,4.748417724870567652e-02
6.052272272272273268e-01,4.862432772461737496e-02
6.060520520520521481e-01,4.978866158395765795e-02
6.068768768768769695e-01,5.097760679360899272e-02
6.077017017017017908e-01,5.219159676306543705e-02
6.085265265265266121e-01,5.343107036190723746e-02
6.093513513513514335e-01,5.469647193591998385e-02
6.101761761761762548e-01,5.598825132182044112e-02
6.110010010010010761e-01,5.730686386055083154e-02
6.118258258258258975e-01,5.865277040910171075e-02
6.126506506506507188e-01,6.002643735082373311e-02
6.134754754754755401e-01,6.142833660419064895e-02
6.143003003003003615e-01,6.285894562997118573e-02
6.151251251251251828e-01,6.431874743677101769e-02
6.159499499499500041e-01,6.580823058490579969e-02
6.167747747747748255e-01,6.732788918856222327e-02
6.175995995995996468e-01,6.887822291620836201e-02
6.184244244244244681e-01,7.045973698921283168e-02
6.192492492492492895e-01,7.207294217863043084e-02
6.200740740740741108e-01,7.371835480011416919e-02
6.208988988988989322e-01,7.539649670691363215e-02
6.217237237237237535e-01,7.710789528091624434e-02
6.225485485485485748e-01,7.885308342169229656e-02
6.233733733733735072e-01,8.063259953350226938e-02
6.241981981981983285e-01,8.244698751022284944e-02
6.250230230230231498e-01,8.429679671815558384e-02
6.258478478478479712e-01,8.618258197667123810e-02
6.266726726726727925e-01,8.810490353665165197e-02
6.274974974974976138e-01,9.006432705668923622e-02
6.283223223223224352e-01,9.206142357700010381e-02
6.291471471471472565e-01,9.409676949101210275e-02
6.299719719719720779e-01,9.617094651458713006e-02
6.307967967967968992e-01,9.828454165283607991e-02
6.316216216216217205e-01,1.004381471644862078e-01
6.324464464464465419e-01,1.026323605237632192e-01
6.332712712712713632e-01,1.048677843797443249e-01
6.340960960960961845e-01,1.071450265131455443e-01
6.349209209209210059e-01,1.094646997905038832e-01
6.357457457457458272e-01,1.118274221157138371e-01
6.365705705705706485e-01,1.142338163788807343e-01
6.373953953953954699e-01,1.166845104024530622e-01
6.382202202202202912e-01,1.191801368845953196e-01
6.390450450450451125e-01,1.217213333397633435e-01
6.398698698698699339e-01,1.243087420364476642e-01
6.406946946946947552e-01,1.269430099320456307e-01
6.415195195195195765e-01,1.296247886048278453e-01
6.423443443443443979e-01,1.323547341829646451e-01
6.431691691691692192e-01,1.351335072705752149e-01
6.439939939939940405e-01,1.379617728707672186e-01
6.448188188188188619e-01,1.408402003056337115e-01
6.456436436436436832e-01,1.437694631331732087e-01
6.464684684684685045e-01,1.467502390611007956e-01
6.472932932932933259e-01,1.497832098575213877e-01
6.481181181181181472e-01,1.528690612584308328e-01
6.489429429429429685e-01,1.560084828720178507e-01
6.497677677677677899e-01,1.592021680797376104e-01
6.505925925925926112e-01,1.624508139341274693e-01
6.514174174174174325e-01,1.657551210533381170e-01
6.522422422422422539e-01,1.691157935123559775e-01
6.530670670670670752e-01,1.725335387308886692e-01
6.538918918918918965e-01,1.760090673578897091e-01
6.547167167167167179e-01,1.795430931527029206e-01
6.555415415415416502e-01,1.831363328627986231e-01
6.563663663663664716e-01,1.867895060980827859e-01
6.571911911911912929e-01,1.905033352017646286e-01
6.580160160160161142e-01,1.942785451177527489e-01
6.588408408408409356e-01,1.981158632545732823e-01
6.596656656656657569e-01,2.020160193457860853e-01
6.604904904904905782e-01,2.059797453068869522e-01
6.613153153153153996e-01,2.100077750886838179e-01
6.621401401401402209e-01,2.141008445271299632e-01
6.629649649649650422e-01,2.182596911896056702e-01
6.637897897897898636e-01,2.224850542176408097e-01
6.646146146146146849e-01,2.267776741660652295e-01
6.654394394394395063e-01,2.311382928385824487e-01
6.662642642642643276e-01,2.355676531197637980e-01
6.670890890890891489e-01,2.400664988034541814e-01
6.679139139139139703e-01,2.446355744175907065e-01
6.687387387387387916e-01,2.492756250454331024e-01
6.695635635635636129e-01,2.539873961432053684e-01
6.703883883883884343e-01,2.587716333541508762e-01
6.712132132132132556e-01,2.636290823190102217e-01
6.720380380380380769e-01,2.685604884829190797e-01
6.728628628628628983e-01,2.735665968987410213e-01
6.736876876876877196e-01,2.786481520268425105e-01
6.745125125125126520e-01,2.838058975313198506e-01
6.753373373373374733e-01,2.890405760726896811e-01
6.761621621621622946e-01,2.943529290970677836e-01
6.769869869869871160e-01,2.997436966218364196e-01
6.778118118118119373e-01,3.052136170178346153e-01
6.786366366366367586e-01,3.107634267880815537e-01
